date,real monetary base [trillions of 2017 dollars],GDP deflator inflation,change in real monetary base [trillions of 2017 dollars],inflation tax revenue [trillions of 2017 dollars],total seigniorage [trillions of 2017 dollars]
1959-01-01,0.33023702056213333,,,,
1960-01-01,0.32273851780144136,0.013606332177667158,-0.007498502760691972,0.004432997759078608,-0.0030655050016133636
1961-01-01,0.31486802894848875,0.010648596321394033,,,
1962-01-01,0.32134595162986335,0.012132822477650018,,,
1963-01-01,0.32710620425815035,0.01148264984227132,,,
1964-01-01,0.33904726796100604,0.015219560878243499,,,
1965-01-01,0.35059933228751855,0.01830916687146722,,,
1966-01-01,0.36113230432145854,0.028055991311692896,,,
1967-01-01,0.3687807752999106,0.028992311755384748,,,
1968-01-01,0.37955871626549964,0.04260537272571718,,,
1969-01-01,0.3842042136003338,0.04901531728665187,,,
1970-01-01,0.3842026185876797,0.05282644972882777,,,
1971-01-01,0.3925451002577157,0.05067115756104812,,,
1972-01-01,0.4025455640909776,0.043277390156515105,,,
1973-01-01,0.4055636477879645,0.05476728422955257,,,
1974-01-01,0.4073812050465746,0.09000942507068821,,,
1975-01-01,0.3905275779376498,0.09263844672404975,,,
1976-01-01,0.3911808160018184,0.05503597122302151,,,
1977-01-01,0.3947044598527649,0.06212069553358335,,,
1978-01-01,0.4036829319497345,0.07033256291730883,,,
1979-01-01,0.40877411612665004,0.08298593407911703,,,
1980-01-01,0.4029192383564892,0.09030739407366384,,,
1981-01-01,0.3807496268108375,0.09463818546645997,,,
1982-01-01,0.3765925828798707,0.06176764043900973,,,
1983-01-01,0.3857531404217137,0.039183548591533945,,,
1984-01-01,0.39639447635672287,0.03606578061911181,,,
1985-01-01,0.4145680032529283,0.03164389956766178,,,
1986-01-01,0.44542806997242,0.020127493802384544,,,
1987-01-01,0.4768603907102797,0.02478350594997014,,,
1988-01-01,0.4946098749272832,0.0352693190800617,,,
1989-01-01,0.49594740371439394,0.039212478184991184,,,
1990-01-01,0.5092881432144564,0.03743549374617339,,,
1991-01-01,0.5196134398956124,0.03380827923446583,,,
1992-01-01,0.5451544484666784,0.022785842440058657,,,
1993-01-01,0.586983726412645,0.023713461017111248,,,
1994-01-01,0.6278343806560511,0.021341558401096528,,,
1995-01-01,0.6483888316228209,0.02097187480934659,,,
1996-01-01,0.6574707079005534,0.018300243505281033,,,
1997-01-01,0.6808479953850591,0.017252508655595467,,,
1998-01-01,0.7167814714984526,0.01123449668301113,,,
1999-01-01,0.7760285562946192,0.014147378028779745,,,
2000-01-01,0.8048343921600983,0.022654722898004298,,,
2001-01-01,0.8317083557468173,0.02252413299964262,,,
2002-01-01,0.8919309629433446,0.015532544378698221,,,
2003-01-01,0.9304794431602732,0.019744421638085097,,,
2004-01-01,0.9518992037296979,0.026894008259096713,,,
2005-01-01,0.9596167050860759,0.03134919129456093,,,
2006-01-01,0.9652852945724447,0.030837706606503534,,,
2007-01-01,0.9579535759920015,0.0270961449251228,,,
2008-01-01,1.1217661027348234,0.019270634286442156,,,
2009-01-01,2.0049177921315327,0.006169543135672972,,,
2010-01-01,2.242493380340355,0.01215050363611736,,,
2011-01-01,2.7519466701646604,0.02062879328811129,,,
2012-01-01,2.8342723256604248,0.018626818683661117,,,
2013-01-01,3.431112893184624,0.017019906637334214,,,
2014-01-01,4.072280243238851,0.01741038925409688,,,
2015-01-01,4.084057777412417,0.009282210306883254,,,
2016-01-01,3.830469627412859,0.009505117349664971,,,
2017-01-01,3.8104666666666667,0.01790494803595233,,,
2018-01-01,3.55956698699462,0.022909999999999986,,,
2019-01-01,3.175096253410143,0.016501940542178684,,,
2020-01-01,4.380249807803646,0.013291145327422038,,,
2021-01-01,5.493773372544748,0.04566205711790894,,,
2022-01-01,4.798123577290879,0.07128853066114793,,,
2023-01-01,4.552449573222762,0.03598359683459584,,,
2024-01-01,4.561879475099151,0.024183589181585585,,,
