country,iso code,observations,money growth,inflation,gdp growth,income group,oecd
Afghanistan,AFG,15.0,0.15012156470543525,0.05074060470877528,0.05812573800738674,low,no
Albania,ALB,30.0,0.1158102731536863,0.04587247898444935,0.044541006396896954,middle,no
Algeria,DZA,60.0,0.15569813972993285,0.10046906266381028,0.035858054033096165,middle,no
Angola,AGO,29.0,0.7004338367332301,0.6446904732666277,0.04755331226625792,middle,no
Antigua and Barbuda,ATG,47.0,0.0851021890398247,0.03977858522959554,0.03253369242638482,high,no
Argentina,ARG,64.0,0.7546372305907298,0.7030638898439245,0.02186331049886725,middle,no
Armenia,ARM,32.0,0.3783923771955966,0.32357519067127827,0.05430980886094616,middle,no
Aruba,ABW,37.0,0.08285513500291675,0.027204863074864027,0.03394068156328678,high,no
Australia,AUS,64.0,0.10142630988967327,0.04810669110293264,0.03353376174604228,high,yes
Azerbaijan,AZE,32.0,0.3849382310880394,0.33005760142960794,0.043005499235541755,middle,no
"Bahamas, The",BHS,54.0,0.07559943889150422,0.04492481928477732,0.01645277966468006,high,no
Bahrain,BHR,46.0,0.1220358453281345,0.045862521552091584,0.04827333337747275,high,no
Bangladesh,BGD,50.0,0.1636641325773771,0.07938226967789075,0.04950080416442759,middle,no
Barbados,BRB,44.0,0.11815383243436273,0.07105300717587326,0.02062484966506717,high,no
Belarus,BLR,28.0,0.5179353333137187,0.4741248884927982,0.03885662504864151,middle,no
Belize,BLZ,48.0,0.0918323456810084,0.02922940608986102,0.04479059174002309,middle,no
Benin,BEN,62.0,0.1110951421922326,0.04945562082353061,0.03984588278334322,middle,no
Bhutan,BTN,40.0,0.17865576837734198,0.06895774515139141,0.06262141519247355,middle,no
Bolivia,BOL,62.0,0.39494386223808875,0.29758862194526237,0.034297941984382296,middle,no
Bosnia and Herzegovina,BIH,27.0,0.12991166640947993,0.04257795222243588,0.037432493236573494,middle,no
Botswana,BWA,48.0,0.1643455004389729,0.08815828010796567,0.059862549736511506,middle,no
Brazil,BRA,64.0,0.8396528521917124,0.7274383667878914,0.037826651295363556,middle,no
Brunei Darussalam,BRN,25.0,0.04314187146842041,0.033027413273678974,0.007441874128296,high,no
Bulgaria,BGR,33.0,0.2575435552765417,0.23041761812012584,0.018148109352792652,high,no
Burkina Faso,BFA,62.0,0.12000894854129895,0.03836664034691606,0.043381442163163086,low,no
Burundi,BDI,60.0,0.15038344385500713,0.09067247288039937,0.024517517722251414,low,no
Cabo Verde,CPV,44.0,0.1130039214166374,0.03228024579816102,0.0590270517917717,middle,no
Cambodia,KHM,31.0,0.23629789916572608,0.049059955953702605,0.05184930402253851,middle,no
Cameroon,CMR,59.0,0.1044190917453165,0.05267540533562842,0.03536873035046484,middle,no
Canada,CAN,49.0,0.10839415946940534,0.045137857978695184,0.03435731406374942,high,yes
Central African Republic,CAF,60.0,0.08427808765423883,0.054320677198226086,0.012393907688953876,low,no
Chad,TCD,62.0,0.09671102711386093,0.044315120979117495,0.029899306483441856,low,no
Chile,CHL,63.0,0.37301225416870665,0.28482187454261787,0.0377103141418107,high,yes
China,CHN,47.0,0.19295522897160744,0.04444785464929435,0.08990603731887403,middle,no
Colombia,COL,34.0,0.15938352765875918,0.09834699631419896,0.0334441802378429,middle,no
Comoros,COM,42.0,0.09135864208357103,0.03314429317681311,0.024269888079762936,middle,no
"Congo, Dem. Rep.",COD,33.0,1.2476974331346717,1.2770450543412597,-0.002393987904952821,low,no
"Congo, Rep.",COG,64.0,0.09705684825242056,0.05804548801648979,0.034015097511955084,middle,no
Costa Rica,CRI,64.0,0.183087896398197,0.11721943442255567,0.044204063413745054,middle,no
Cote d'Ivoire,CIV,62.0,0.10894014400060104,0.05463852972267702,0.041258883274265745,middle,no
Czechia,CZE,31.0,0.07742984510969864,0.0376075094763888,0.023993110268522022,high,yes
Denmark,DNK,64.0,0.07375007076263507,0.04333862905069563,0.023710740201632774,high,yes
Djibouti,DJI,11.0,0.08671722216243172,0.0175920070647837,0.053576755467400705,middle,no
Dominica,DMA,47.0,0.07735470172030823,0.03732736714465279,0.021342661072147884,middle,no
Dominican Republic,DOM,64.0,0.17048764558540186,0.10213368924874633,0.05040198345418556,middle,no
Ecuador,ECU,64.0,0.1006855964858786,0.030772714290362657,0.03757574366051242,middle,no
"Egypt, Arab Rep.",EGY,64.0,0.16858304208289132,0.0946943884208642,0.05117269614179243,middle,no
El Salvador,SLV,59.0,0.08521993838461595,0.043108578456662716,0.02106961320879286,middle,no
Equatorial Guinea,GNQ,39.0,0.13319025744626845,0.04197013576328201,0.11133102622671642,middle,no
Eritrea,ERI,17.0,0.1807847028929368,0.12105865289397277,0.02028772798220846,low,no
Eswatini,SWZ,49.0,0.14014136953185607,0.0859882888747554,0.04513876612209411,middle,no
Ethiopia,ETH,48.0,0.13090656598874562,0.04957811095867948,0.03945357316963283,low,no
Fiji,FJI,63.0,0.10178169431959794,0.05136207111288238,0.029219627090413258,middle,no
Gabon,GAB,60.0,0.10779154869116092,0.06008939507313582,0.03816352593202388,middle,no
"Gambia, The",GMB,49.0,0.16248956576872975,0.10571104289975097,0.03504499544889583,low,no
Georgia,GEO,29.0,0.21426081563134614,0.07148502409013857,0.0574097359046708,middle,no
Ghana,GHA,64.0,0.3020110194546992,0.24619725264870973,0.035866369421125865,middle,no
Grenada,GRD,47.0,0.08088159819918928,0.03433738262727615,0.030074079724226488,middle,no
Guatemala,GTM,64.0,0.1379448547932407,0.07035670696866303,0.03812985852569217,middle,no
Guinea,GIN,22.0,0.21893366563784,0.10472760855711316,0.04544675675372134,middle,no
