,deflator inflation - forecast,cpi inflation - forecast,deflator inflation - actual,cpi inflation - actual,nominal interest
1971-04-01,2.9851,,5.067634772229956,4.381443298969079,4.3
1971-07-01,3.7037,,5.27302323287131,4.081632653061207,6.04
1971-10-01,3.5414,,4.766077600895757,3.266331658291466,4.91
1972-01-01,3.5303,,4.771495708051576,3.499999999999992,4.28
1972-04-01,3.4164,,4.056420693898821,2.9629629629629672,4.96
1972-07-01,3.1359,,3.9921281979195866,3.1862745098039325,4.96
1972-10-01,3.4194,,4.447026022304845,3.406326034063256,5.52
1973-01-01,3.5392,,4.064445258147198,4.8309178743961345,5.89
1973-04-01,3.3858,,5.012736535662277,5.995203836930463,6.85
1973-07-01,3.6128,,6.0421735604217375,7.3634204275534465,8.39
1973-10-01,3.6999,,6.793611247052556,8.94117647058823,7.4
1974-01-01,3.7609,,7.569493314567199,10.138248847926267,7.42
1974-04-01,3.7723,,8.44234601056919,10.859728506787313,8.62
1974-07-01,4.0999,,9.492245591671967,11.946902654867241,8.8
1974-10-01,5.3651,,10.510748208631892,12.095032397408211,8.05
1975-01-01,5.6522,,10.929386269779595,10.460251046025103,6.83
1975-04-01,5.6126,,9.978030756940282,9.183673469387754,6.9
1975-07-01,6.647,,8.731421475416191,7.905138339920947,7.11
1975-10-01,7.6814,,7.39246805141931,7.129094412331405,6.95
1976-01-01,7.2412,,6.115001842978263,6.060606060606055,5.81
1976-04-01,5.5917,,5.615080085715318,5.981308411214958,5.92
1976-07-01,5.9454,,5.125093686427062,5.494505494505497,6.2
1976-10-01,6.2087,,5.247823645043526,5.035971223021574,5.5
1977-01-01,6.1832,,5.821667998193747,6.428571428571428,5.29
1977-04-01,5.9002,,6.245056570033358,6.701940035273357,5.44
1977-07-01,6.055,,6.165336954676626,6.423611111111094,5.94
1977-10-01,5.729,,6.5503785478437715,6.67808219178081,6.97
1978-01-01,5.644,,6.3876579681601875,6.375838926174482,7.28
1978-04-01,6.2678,,6.9137400873927835,7.438016528925617,7.45
1978-07-01,5.8989,,7.422212273352291,8.482871125611746,8.39
1978-10-01,5.9557,,7.299589945847829,8.988764044943842,9.14
1979-01-01,5.9044,,7.691833019653838,10.252365930599371,10.41
1979-04-01,6.5327,,8.258908298265277,11.076923076923073,10.12
1979-07-01,6.9055,,8.778875922838768,11.879699248120312,9.64
1979-10-01,7.0927,,8.576679599754943,13.254786450662737,12.44
1980-01-01,7.3262,,8.872908549163405,14.592274678111572,12.06
1980-04-01,7.9278,,8.797785172963458,14.265927977839322,13.3
1980-07-01,8.0251,,8.847595851235601,12.768817204301076,8.65
1980-10-01,8.1871,,9.648297912356597,12.353706111833551,12.49
1981-01-01,8.6957,,10.220783663587806,10.611735330836458,14.08
