,deflator inflation - forecast,deflator inflation - actual,nominal interest
2019-01-01,2.103849597135188,1.617180241560856,2.54
2019-04-01,2.0131249999999934,0.7221120332749242,2.2533333333333334
2019-07-01,1.9786157941437343,1.2812883906633932,1.8433333333333335
2019-10-01,1.940497308228406,1.6533353744881074,1.5766666666666669
2020-01-01,1.9268374069707717,2.4676425489766673,1.09
2020-04-01,1.3730065779624878,4.439261270217565,0.17333333333333334
2020-07-01,1.5175550335493337,5.08874506050585,0.1366666666666667
2020-10-01,1.8720832075859395,6.195173374496443,0.11666666666666665
2021-01-01,1.953224877852766,6.997862254856391,0.08333333333333333
2021-04-01,2.3090749516686326,7.757011056601004,0.06
2021-07-01,2.251139985786521,7.358179211340254,0.07666666666666667
2021-10-01,2.5708611332289966,6.497615797777101,0.19666666666666666
2022-01-01,2.805355411400967,5.326661975868463,0.9633333333333334
2022-04-01,3.0387869114125943,3.4595815885365866,2.1999999999999997
2022-07-01,3.052825230783207,3.116994380842786,3.3966666666666665
2022-10-01,2.9611463298011786,2.566641976747097,4.613333333333333
2023-01-01,2.6902500674863106,2.401629677281014,4.766666666666667
2023-04-01,2.534966626213575,2.5770910643328593,4.943333333333333
2023-07-01,2.507692063633571,2.2514010165515463,5.3933333333333335
2023-10-01,2.260459739451326,2.4472375264725343,5.22
2024-01-01,2.1058504548236545,2.630413247102603,4.8999999999999995
2024-04-01,2.1944122327013593,2.4907357755136417,5.136666666666667
