,deflator inflation - 1yr forecast,deflator inflation - 1yr actual,nominal interest - 1yr
1970-01-01,3.40982693021446,5.063745216545645,6.8975
1971-01-01,3.3754794587326495,4.316767655543707,4.88
1972-01-01,3.5594322942828494,5.478241650320942,4.96
1973-01-01,4.249566217361467,9.003708281360062,7.3116666666666665
1974-01-01,6.492398256392168,9.257826638388844,8.181666666666667
1975-01-01,6.246755763032047,5.525749815041042,6.758333333333334
1976-01-01,5.966827624831067,6.195610017686875,5.8741666666666665
1977-01-01,5.941588888487187,7.005800068688273,6.088333333333333
1978-01-01,6.608822348280762,8.326574210128207,8.34
1979-01-01,7.866548333953254,9.041646871429766,10.665
1980-01-01,8.960934341929205,9.477583150339868,12.048333333333334
1981-01-01,8.265561404271237,6.190537726297013,14.778333333333332
1982-01-01,6.180291724421294,3.9001455420062445,12.275
1983-01-01,5.076742571297249,3.619452901685899,9.5725
1984-01-01,4.879398363799014,3.16876718744159,10.887500000000001
1985-01-01,4.127396074198009,2.0195899066726586,8.425833333333333
1986-01-01,3.053177899353976,2.4685250257892974,6.4625
1987-01-01,3.8458681092346403,3.5228027958398247,6.764166666666666
1988-01-01,4.064300937660925,3.9304108807848626,7.6525
1989-01-01,4.359743841191915,3.7504376208442713,8.535
1990-01-01,4.121823925738294,3.3775925136255935,7.8825
1991-01-01,3.355644948502734,2.2774410655409194,5.858333333333333
1992-01-01,2.963660241544519,2.3723558314175497,3.889166666666666
1993-01-01,2.8553637596360426,2.1346065934256586,3.434166666666667
1994-01-01,2.9525046528964314,2.0999556561026758,5.3100000000000005
1995-01-01,2.6868089645104174,1.8286554431760027,5.948333333333333
1996-01-01,2.4836600006052034,1.7261635624395977,5.5125
1997-01-01,2.4382646502927874,1.1231928238172983,5.63
1998-01-01,2.042288472782033,1.4133672534259678,5.051666666666667
1999-01-01,1.7413800649669076,2.265493808210156,5.0775
2000-01-01,2.209241276055324,2.2584520816600784,6.1083333333333325
2001-01-01,2.0045434374428464,1.552139982734041,3.4808333333333334
2002-01-01,1.8825451091395717,1.9675723878053664,2.0016666666666665
2003-01-01,1.7733443733720489,2.6873144593718647,1.2441666666666666
2004-01-01,1.8884277494615742,3.13715059041495,1.8866666666666667
2005-01-01,2.160394297438273,3.089253177074652,3.618333333333333
2006-01-01,2.2783162880402608,2.708792997475368,4.9325
2007-01-01,2.2333177815316017,1.9351731699278174,4.5216666666666665
2008-01-01,2.2012650560105484,0.6153341428945414,1.8225000000000002
2009-01-01,1.4154031340263329,1.21167160398018,0.4708333333333333
2010-01-01,1.5530238014611397,2.063705653310338,0.31833333333333336
2011-01-01,1.7734482606252822,1.864217316460437,0.18166666666666667
2012-01-01,1.8844626391936792,1.7000535450033771,0.175
2013-01-01,1.8536218730180354,1.7407683005475072,0.13166666666666665
2014-01-01,1.8864116093001537,0.9317412484604659,0.12083333333333333
2015-01-01,1.8008182186735777,0.9482576306973967,0.3216666666666667
2016-01-01,1.876611998850286,1.7888072828304735,0.6141666666666667
2017-01-01,2.013491836957393,2.2927445168944183,1.2008333333333334
2018-01-01,2.144374111415015,1.6785849185275037,2.331666666666667
2019-01-01,2.0090219248768304,1.3096564359535157,2.0533333333333337
2020-01-01,1.6723705565171332,4.56835443789449,0.3791666666666667
2021-01-01,2.2710752371342293,7.064857947394038,0.10416666666666666
2022-01-01,2.964528470849487,3.6607493652196013,2.793333333333333
