	0
1929-04-01	70.0755798026192
1929-05-01	68.2141760452919
1929-06-01	66.9924168906863
1929-07-01	68.8169982113167
1929-08-01	64.5911377927803
1929-09-01	74.3873499748624
1929-10-01	67.7655956198224
1929-11-01	56.8367926091405
1929-12-01	53.2906910594943
1930-01-01	44.9859525586419
1930-02-01	45.643518360677
1930-03-01	43.480998129615
1930-04-01	43.3644506892872
1930-05-01	41.5844231172201
1930-06-01	39.9203730682507
1930-07-01	37.4170951383025
1930-08-01	37.4159912979807
1930-09-01	35.4203568082182
1930-10-01	34.2469399932025
1930-11-01	34.8644398912861
1930-12-01	33.8600756806335
1931-01-01	34.2544727666738
1931-02-01	35.3674125492526
1931-03-01	35.5784935858925
1931-04-01	34.2697255602079
1931-05-01	32.0773451834772
1931-06-01	30.3146415607158
1931-07-01	30.7387394264408
1931-08-01	29.6112307595589
1931-09-01	26.9969128028487
1931-10-01	25.6383411748631
1931-11-01	28.243202984201
1931-12-01	28.2611466496831
1932-01-01	26.1184081595109
1932-02-01	26.7909692033929
1932-03-01	24.8536491302436
1932-04-01	21.6755780072089
1932-05-01	21.5108211900938
1932-06-01	21.6430897968439
1932-07-01	20.7426639075801
1932-08-01	20.9616532896433
1932-09-01	21.3799530377609
1932-10-01	23.0644692431448
1932-11-01	21.7141044180736
1932-12-01	21.4297588094777
1933-01-01	21.5876235001758
1933-02-01	20.8749195799977
1933-03-01	17.1460920958447
1933-04-01	20.9245370892446
1933-05-01	21.486265798007
1933-06-01	23.6768855129922
1933-07-01	23.9435336210914
1933-08-01	24.7670352256097
1933-09-01	22.1876482834248
1933-10-01	23.0883315672339
1933-11-01	22.8667526003843
1933-12-01	22.732046535891
1934-01-01	24.7389251995728
1934-02-01	24.588975568891
1934-03-01	23.8189324891697
1934-04-01	24.6963732026879
1934-05-01	24.9697282370557
1934-06-01	22.7368036931529
1934-07-01	22.7329043182098
1934-08-01	21.8548838737106
1934-09-01	21.9611360982576
1934-10-01	22.1179832757528
1934-11-01	23.0539802571044
1934-12-01	24.1435980505617
1935-01-01	23.7253695192628
1935-02-01	23.769547051002
1935-03-01	24.825542349514
1935-04-01	24.7715798994023
1935-05-01	23.8792035289888
1935-06-01	24.8272376275924
1935-07-01	25.8863800362511
1935-08-01	25.5233084017896
1935-09-01	28.4367095793172
1935-10-01	28.1952503445698
1935-11-01	28.6481938670741
1935-12-01	29.6027453572636
1936-01-01	28.2130076987348
1936-02-01	29.0129821695189
1936-03-01	34.3284063394487
1936-04-01	33.0052248938641
1936-05-01	36.2322526222536
1936-06-01	36.910085019598
1936-07-01	36.5116634113724
1936-08-01	37.5911637857091
1936-09-01	38.275472559636
1936-10-01	37.695495965737
1936-11-01	39.6861668883858
1936-12-01	39.1210800326711
1937-01-01	39.2782925972934
1937-02-01	38.9737536692527
1937-03-01	39.032386752636
1937-04-01	40.4232791952948
1937-05-01	40.7414576322138
1937-06-01	38.9990596166289
1937-07-01	34.399882965483
1937-08-01	36.5041523677955
1937-09-01	36.5268952479492
1937-10-01	32.2843341827687
1937-11-01	27.4659101481465
1937-12-01	24.3240504250371
1938-01-01	25.0956202756953
1938-02-01	24.3834057473102
1938-03-01	23.8576309237242
1938-04-01	22.9587428841235
1938-05-01	22.2956505143681
1938-06-01	22.0082392989376
1938-07-01	23.7137078941039
1938-08-01	24.209825428556
1938-09-01	24.0392486637322
1938-10-01	25.2745990598767
1938-11-01	26.3663757600201
1938-12-01	25.7306700314633
1939-01-01	26.0995863790898
1939-02-01	25.4425053660044
1939-03-01	26.8216784728205
1939-04-01	26.5139059492893
1939-05-01	25.9394247029684
1939-06-01	27.1990369023879
1939-07-01	27.124667773751
1939-08-01	26.9067912781704
1939-09-01	27.2538083824215
1939-10-01	30.6836787965704
1939-11-01	29.5096678774902
1939-12-01	29.8506847867898
1940-01-01	30.4180579191341
1940-02-01	31.2415289916436
1940-03-01	28.7618113892657
1940-04-01	28.1099071608735
1940-05-01	28.7086164227875
1940-06-01	29.4480020460014
1940-07-01	28.4086388193781
1940-08-01	28.6649296528385
1940-09-01	33.7100409891813
1940-10-01	32.7689903833452
1940-11-01	33.8090958342054
1940-12-01	36.6291838546131
1941-01-01	39.1725420354916
1941-02-01	41.5928727895917
1941-03-01	43.1192127446903
1941-04-01	46.8354938820109
1941-05-01	49.1882073413488
1941-06-01	52.2079620242068
1941-07-01	54.0444053354878
1941-08-01	53.4923888874993
1941-09-01	53.2907998495948
1941-10-01	51.0172438115005
1941-11-01	52.1427672437128
1941-12-01	54.1805474998077
1942-01-01	55.6283818282672
1942-02-01	57.8165340962667
1942-03-01	63.3883679747165
1942-04-01	69.8459429464138
1942-05-01	72.1741263093974
1942-06-01	72.017144579001
1942-07-01	76.4350316498316
1942-08-01	89.5678996921035
1942-09-01	103.565965638558
1942-10-01	109.281101324137
1942-11-01	119.459062804747
1942-12-01	116.074229429029
1943-01-01	122.207782991101
1943-02-01	134.632429948502
1943-03-01	139.692987910181
1943-04-01	141.016768213192
1943-05-01	143.072272314152
1943-06-01	144.719636531365
1943-07-01	148.356067621049
1943-08-01	153.0426700088
1943-09-01	147.669733480438
1943-10-01	148.359730043707
1943-11-01	149.181629105723
1943-12-01	162.102793948166
1944-01-01	162.456635274089
1944-02-01	172.243395584492
1944-03-01	171.586839110702
1944-04-01	170.267767886101
1944-05-01	186.74779303161
1944-06-01	187.943011066802
1944-07-01	149.906072203785
1944-08-01	155.671888164155
1944-09-01	161.41492461392
1944-10-01	183.37385065848
1944-11-01	193.192293231158
1944-12-01	201.917777423501
1945-01-01	200.200254027247
1945-02-01	196.414545448472
1945-03-01	194.12859851755
1945-04-01	197.633839496791
1945-05-01	193.781729608599
1945-06-01	197.254240168168
1945-07-01	215.911930121998
1945-08-01	189.109053891845
1945-09-01	166.731210994269
1945-10-01	159.398811391322
1945-11-01	158.652528021104
1945-12-01	153.398670189699
1946-01-01	152.107776397097
1946-02-01	139.994321582969
1946-03-01	146.548402200933
1946-04-01	148.216618860407
1946-05-01	132.110395977534
1946-06-01	147.752423223886
1946-07-01	155.737519171377
1946-08-01	145.957624067709
1946-09-01	144.070620531826
1946-10-01	139.00738230877
1946-11-01	135.851205773078
1946-12-01	132.373719936739
1947-01-01	131.090497595611
1947-02-01	132.493766895474
1947-03-01	128.431726995229
1947-04-01	123.864697682848
1947-05-01	122.651433353191
1947-06-01	118.620682841151
1947-07-01	115.92240232356
1947-08-01	120.777626960444
1947-09-01	139.107629908935
1947-10-01	129.69380075424
1947-11-01	126.158511847006
1947-12-01	124.411563791244
1948-01-01	116.661443298483
1948-02-01	115.612193662063
1948-03-01	108.958076207385
1948-04-01	109.701209628018
1948-05-01	111.139937986729
1948-06-01	110.265731615021
1948-07-01	109.372685692105
1948-08-01	106.586862442399
1948-09-01	112.894992139267
1948-10-01	101.57183860068
1948-11-01	96.7753200438815
1948-12-01	89.2008021903076
1949-01-01	83.9418505385686
1949-02-01	73.9186008392002
1949-03-01	74.3086973568531
1949-04-01	71.1681159758251
1949-05-01	70.2829409817777
1949-06-01	67.8679117832059
1949-07-01	63.9076814936034
1949-08-01	61.5155887016694
1949-09-01	58.8752553023926
1949-10-01	56.023275537998
1949-11-01	55.0107664690198
1949-12-01	55.1062596433162
1950-01-01	62.2143655928612
1950-02-01	63.9008247043933
1950-03-01	64.738346159916
1950-04-01	68.0274355389832
1950-05-01	69.586252998882
1950-06-01	75.048600264944
1950-07-01	80.4096172200308
1950-08-01	91.0896282830287
1950-09-01	89.568502278153
1950-10-01	95.6209649024338
1950-11-01	97.1464758014127
1950-12-01	99.4551099264937
1951-01-01	109.147779580623
1951-02-01	109.41134188811
1951-03-01	119.363327520996
1951-04-01	120.264274085071
1951-05-01	121.360756682729
1951-06-01	117.611014279267
1951-07-01	117.310411882356
1951-08-01	116.489830138277
1951-09-01	117.334932339545
1951-10-01	116.768460237374
1951-11-01	117.357707452824
1951-12-01	121.470286747689
1952-01-01	118.773933305727
1952-02-01	121.692123236372
1952-03-01	116.387134423763
1952-04-01	118.024135927489
1952-05-01	113.846168771153
1952-06-01	111.341909086658
1952-07-01	106.286454291375
1952-08-01	113.065319512675
1952-09-01	122.632342204387
1952-10-01	124.772334270776
1952-11-01	130.354043071993
1952-12-01	129.233513453089
1953-01-01	123.237730871127
1953-02-01	129.295249746283
1953-03-01	130.064619676948
1953-04-01	122.721957569648
1953-05-01	122.945928386883
1953-06-01	116.76203391506
1953-07-01	108.874564147948
1953-08-01	105.773113792034
1953-09-01	101.879805005271
1953-10-01	92.5536148260782
1953-11-01	83.6659710179975
1953-12-01	75.8963521565708
1954-01-01	70.7081995048002
1954-02-01	68.0762745542482
1954-03-01	65.6733795254115
1954-04-01	64.1554363050495
1954-05-01	61.7575425236068
1954-06-01	63.8663922209924
1954-07-01	62.9712236355725
1954-08-01	62.7498746694614
1954-09-01	59.8318590864272
1954-10-01	62.6719436394017
1954-11-01	66.791260037005
1954-12-01	69.5469109382208
1955-01-01	72.6097804058433
1955-02-01	74.4843552306914
1955-03-01	80.1042154260857
1955-04-01	84.3952824005317
1955-05-01	89.0890557463851
1955-06-01	88.6918038085401
1955-07-01	95.7451417911565
1955-08-01	100.074512549977
1955-09-01	99.5870319617194
1955-10-01	105.444596972531
1955-11-01	105.809856380084
1955-12-01	105.437613903248
1956-01-01	109.397648109202
1956-02-01	112.94171521734
1956-03-01	102.716163425956
1956-04-01	106.657401199661
1956-05-01	104.424581628848
1956-06-01	103.353862663963
1956-07-01	98.524285668154
1956-08-01	99.5396998005214
1956-09-01	102.091334084588
1956-10-01	106.326003680891
1956-11-01	102.90676775646
1956-12-01	103.691844323596
1957-01-01	102.58454956133
1957-02-01	99.4446589518125
1957-03-01	97.211792628371
1957-04-01	92.683829370406
1957-05-01	91.6322184818744
1957-06-01	88.7635362836251
1957-07-01	88.2674289253279
1957-08-01	83.8582158792229
1957-09-01	82.7913055169456
1957-10-01	73.3216387072498
1957-11-01	67.4384838635486
1957-12-01	67.5744461624798
1958-01-01	62.3127469532114
1958-02-01	58.7913967389264
1958-03-01	55.8557721020576
1958-04-01	53.8538262816249
1958-05-01	53.2166247740874
1958-06-01	56.5180869276855
1958-07-01	58.1767632155499
1958-08-01	59.5096815731061
1958-09-01	59.7411238970673
1958-10-01	62.8417791877782
1958-11-01	65.5700256474815
1958-12-01	67.6541322444039
1959-01-01	67.6806323052795
1959-02-01	74.4453458862425
1959-03-01	78.2961197345115
1959-04-01	82.8470391595187
1959-05-01	84.1520158778328
1959-06-01	85.6454902117354
1959-07-01	85.5408637253517
1959-08-01	85.1112367610023
1959-09-01	85.6423016444176
1959-10-01	83.6748779734228
1959-11-01	85.137368423189
1959-12-01	84.351479646161
1960-01-01	85.8498060718551
1960-02-01	90.0893977896502
1960-03-01	79.3140119846574
1960-04-01	81.4803144333391
1960-05-01	81.2710717996088
1960-06-01	76.9110348406307
1960-07-01	74.3497629893747
1960-08-01	72.0614774223803
