The data on this page were constructed as part of the paper "Building a composite Help-Wanted Index" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.	
Update (02/2017): 
Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, "A Cautionary Note on the Help Wanted Online Data"), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. 
The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).	
	
See the paper for details and construction methods for the composite HWI over 1951-2000.	
	
1970M03	3.909014666
1970M04	3.788472363
1970M05	3.564608087
1970M06	3.495726772
1970M07	3.35796414
1970M08	3.323523482
1970M09	3.289082825
1970M10	3.04799822
1970M11	3.030777891
1970M12	3.030777891
1971M01	2.910235588
1971M02	2.996337233
1971M03	2.996337233
1971M04	2.979116904
1971M05	3.013557562
1971M06	3.151320193
1971M07	3.082438877
1971M08	3.099659206
1971M09	3.065218549
1971M10	3.099659206
1971M11	3.151320193
1971M12	3.185760851
1972M01	3.323523482
1972M02	3.392404798
1972M03	3.444065785
1972M04	3.478506443
1972M05	3.530167429
1972M06	3.564608087
1972M07	3.633489403
1972M08	3.754031706
1972M09	3.805692692
1972M10	3.977895982
1972M11	4.046777297
1972M12	4.373963547
1973M01	4.511726178
1973M02	4.460065191
1973M03	4.47728552
1973M04	4.391183876
1973M05	4.442844862
1973M06	4.442844862
1973M07	4.511726178
1973M08	4.408404205
1973M09	4.356743218
1973M10	4.408404205
1973M11	4.356743218
1973M12	4.1673196
1974M01	4.150099271
1974M02	4.046777297
1974M03	4.063997626
1974M04	4.201760258
1974M05	4.132878942
1974M06	4.012336639
1974M07	3.857353679
1974M08	3.771252034
1974M09	3.599048745
1974M10	3.340743811
1974M11	3.082438877
1974M12	2.824133944
1975M01	2.651930654
1975M02	2.600269668
1975M03	2.514168023
1975M04	2.514168023
1975M05	2.496947694
1975M06	2.686371312
1975M07	2.72081197
1975M08	2.686371312
1975M09	2.755252628
1975M10	2.755252628
1975M11	2.858574601
1975M12	2.858574601
1976M01	2.910235588
1976M02	3.065218549
1976M03	3.082438877
1976M04	3.04799822
1976M05	3.116879535
1976M06	3.134099864
1976M07	3.082438877
1976M08	3.082438877
1976M09	3.065218549
1976M10	3.099659206
1976M11	3.151320193
1976M12	3.289082825
1977M01	3.392404798
1977M02	3.375184469
1977M03	3.461286114
1977M04	3.547387758
1977M05	3.633489403
1977M06	3.650709732
1977M07	3.754031706
1977M08	3.822913021
1977M09	3.805692692
1977M10	3.977895982
1977M11	4.081217955
1977M12	4.201760258
1978M01	4.218980586
1978M02	4.253421244
1978M03	4.373963547
1978M04	4.615048152
1978M05	4.563387165
1978M06	4.546166836
1978M07	4.546166836
1978M08	4.615048152
1978M09	4.666709138
1978M10	4.80447177
1978M11	4.752810783
1978M12	4.770031112
1979M01	4.718370125
1979M02	4.597827823
1979M03	4.632268481
1979M04	4.80447177
1979M05	4.770031112
1979M06	4.683929467
1979M07	4.632268481
1979M08	4.683929467
1979M09	4.787251441
1979M10	4.856132757
1979M11	4.546166836
1979M12	4.494505849
1980M01	4.373963547
1980M02	4.270641573
1980M03	4.218980586
1980M04	3.719591048
1980M05	3.409625127
1980M06	3.461286114
1980M07	3.461286114
1980M08	3.478506443
1980M09	3.633489403
1980M10	3.633489403
1980M11	3.788472363
1980M12	3.650709732
1981M01	3.547387758
1981M02	3.599048745
1981M03	3.581828416
1981M04	3.564608087
1981M05	3.512947101
1981M06	3.564608087
1981M07	3.530167429
1981M08	3.495726772
1981M09	3.323523482
1981M10	3.116879535
1981M11	3.099659206
1981M12	2.961896575
1982M01	2.944676246
1982M02	2.824133944
1982M03	2.738032299
1982M04	2.617489996
1982M05	2.583049339
