Year,GDP [Bil. of 2017 Dollars],Consumption [Bil. of 2017 Dollars],Investment [Bil. of 2017 Dollars],Government Purchases [Bil. of 2017 Dollars],Exports [Bil. of 2017 Dollars],Imports [Bil. of 2017 Dollars],Net Exports [Bil. of 2017 Dollars],Capital [Bil. of 2017 Dollars],Labor [Bil. of Hours]
2012-01-01,17442.7,11855.3,2813.5,3365.9,2379.9,2971.8,-592.0,18279.1,230.328
2013-01-01,17812.1,12016.6,2994.9,3305.4,2414.2,2919.0,-504.9,18516.1,233.87
2014-01-01,18261.7,12315.2,3188.1,3286.2,2466.8,2994.6,-527.8,18901.0,238.609
2015-01-01,18799.6,12636.6,3379.2,3322.6,2333.2,2872.0,-538.8,19424.9,243.112
2016-01-01,19141.6,12954.7,3337.0,3362.2,2275.6,2787.9,-512.3,20066.0,246.571
2017-01-01,19612.1,13290.6,3467.7,3397.1,2388.3,2931.6,-543.3,20574.6,250.05
2018-01-01,20193.9,13622.4,3641.3,3510.0,2481.2,3061.0,-579.8,21142.1,254.165
2019-01-01,20715.7,13885.1,3744.7,3641.1,2442.2,2997.4,-555.2,21803.4,257.352
2020-01-01,20267.6,13501.8,3563.9,3796.1,2041.7,2636.0,-594.3,22474.8,242.613
2021-01-01,21494.7,14626.2,3833.8,3815.4,2319.5,3100.1,-780.6,22870.8,251.215
2022-01-01,22034.9,14988.9,4084.9,3773.5,2556.5,3369.0,-812.5,23480.8,259.928
