date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1975-07-01,39.734332906573975,40.92138127961725,24.335588275433093,24.836128401437342,6.1627698893217815,7.196207777754756,94.81499410538481,98.95589616536273,42.19044031864688,42.25837980351225,20.358920328863828,20.381094867281337
1975-10-01,40.07136239723628,41.032178408975355,24.477785811034554,24.919983209942632,6.282755192276079,7.251089324409309,95.95736902153324,98.8807927664156,42.1330260666442,42.46277952709796,20.38210647476145,20.411864470781964
1976-01-01,40.7773700577854,41.15467725221047,24.861001065152603,25.008421545678797,6.82363370881727,7.315375391459914,97.07076629512041,98.85063011178383,42.11370804746117,42.675587005852556,20.58957098610811,20.441066196580593
1976-04-01,40.89265602226944,41.28771310499354,24.936075543365998,25.100590307675986,7.1152610406479555,7.3881171583788054,96.68761333731352,98.86413192797195,42.24149342814737,42.898779154714184,20.67899043817781,20.46792027072639
1976-07-01,40.91879140993375,41.42987520214804,25.134101892748436,25.19553203421934,7.120865433992022,7.468026164037912,96.60739589306974,98.91895691077254,42.42321606789485,43.13402102043764,20.672290485880744,20.491736233339232
1976-10-01,41.03263134298531,41.579488948874555,25.29510460748117,25.292171464039043,7.162726240276832,7.553594721326435,96.69755715073931,99.01143479443566,42.61611030304387,43.382601317797786,20.684368216106165,20.51195315755528
1977-01-01,41.33760092707071,41.73453526628175,25.530580328866332,25.38937825209129,7.489749318549904,7.643025184912116,97.29168425891727,99.13646222646446,42.8148867424167,43.645392438440396,20.7215229347475,20.528122217013145
1977-04-01,41.94394009359808,41.89262003990803,25.6240669595577,25.4860064632946,7.950585014363695,7.734178881974272,98.6731674235541,99.28747793485662,43.07409883736574,43.9228066879467,20.78968747689878,20.539902893260113
1977-07-01,42.49247481090427,42.05106214282679,25.812827586911308,25.580981427994136,8.30672780032553,7.824714403226846,99.24765397750188,99.45673673927733,43.42949874239962,44.21474426533821,20.921989461413798,20.547077007366173
1977-10-01,42.30392169676248,42.207172095667126,25.895292491028258,25.67329956423393,8.254470943376333,7.912316998891164,99.78033348194205,99.63606698973004,43.879414856877446,44.52056747640499,20.682066171677803,20.5495843395611
1978-01-01,42.25822870155906,42.35849733694065,25.976448341186583,25.762089087274386,8.341278932434388,7.994872261021862,99.81483883347212,99.81711165771227,44.306591605794296,44.83912509219183,20.58516486410906,20.547600010429196
1978-04-01,43.70164908431619,42.50261272487635,26.453499325523186,25.846606953219997,8.820125994396998,8.070404528054981,102.27865512294187,99.99154420307822,44.73804362020962,45.16882779001265,20.88259304883026,20.54138459845927
1978-07-01,43.93942937479916,42.637000830442766,26.458784843022155,25.926237084661576,9.032939547647219,8.137102265673267,102.67410481009465,100.1509794133139,45.261518281698166,45.50770196946703,20.85851670351133,20.531224529934466
1978-10-01,44.32383971412545,42.75986265342487,26.508134505748238,26.00073609850547,9.22919363772075,8.193582323812006,103.43267422288275,100.28840139136611,45.81391398806886,45.853440586578834,20.851847923689398,20.51761931446331
1979-01-01,44.20433944842571,42.87019432049183,26.543160897457085,26.070192623136055,9.199298475442301,8.239003334994042,103.71061562868695,100.39832939502686,46.40301500757274,46.20350893560018,20.666762516427283,20.501271711623424
1979-04-01,44.06528787316525,42.96795787446311,26.488264019724003,26.13501538946564,9.17091319082392,8.273168768102634,103.60410336699685,100.47721765410896,46.97545821902787,46.5552684021672,20.5272387079095,20.483090431088502
1979-07-01,44.19014388008789,43.053951636808456,26.701742842467052,26.195914596740895,9.038606554665934,8.296499672913901,104.07405852019964,100.52357560719867,47.50284079564744,46.906125389898705,20.444888399842952,20.464084502512502
1979-10-01,44.07300510130444,43.1296709357562,26.778817591591636,26.25382968399543,8.864733789915782,8.310002508009653,103.77395380453326,100.53786642940943,47.948926766050114,47.25367392605684,20.36228055949963,20.44528696727411
1980-01-01,44.02370805006194,43.19733349618302,26.86232634716824,26.31002439195264,8.75098861643722,8.31517373378235,103.08510005187294,100.52276531762237,48.378833002327156,47.595815290733796,20.364028798155307,20.427715131487073
1980-04-01,42.94826283684592,43.25976174229935,26.17292763585579,26.366100266190003,7.9728168645193955,8.31387785127101,100.82874736681777,100.48296285180894,48.7811968640731,47.930832429439356,20.09607320238177,20.41233104682647
1980-07-01,42.720576423229225,43.320310451862554,26.378351909874986,26.424015782837234,7.404111451188232,8.308261883746429,99.9537050112626,100.42474276247597,48.96360616099236,48.25745929927462,20.076866625836313,20.4000545842041
1980-10-01,43.3670613460984,43.38215814279573,26.60910246775482,26.485625130808245,8.010471766124573,8.30025927089362,100.94797208455103,100.35460255839,49.031055347329946,48.57493832515635,20.240229014598615,20.391605560312833
1981-01-01,44.06340533577577,43.448123098230354,26.596153261805966,26.55277210553668,8.735671098601735,8.291202576007201,101.17859628198738,100.27873320980409,49.24703196100217,48.88294607086186,20.503179562583757,20.387501011757035
1981-04-01,43.59346155290966,43.521032040551425,26.431830182518794,26.62739914737474,8.40629197548391,8.28223556540846,100.92381095448089,100.20367829992013,49.64432650248639,49.18144883874022,20.260722213778045,20.388165175250645
1981-07-01,43.96609997469932,43.60411635204844,26.403035872856496,26.711502657800043,8.795582394330761,8.27476726407593,100.52639268797078,100.13652129499442,49.94074882365333,49.470652018958035,20.443743016997356,20.394097616809823
1981-10-01,43.34023362791739,43.700683084989215,26.082822718584392,26.80698878553816,8.499371076065147,8.270278999563601,99.74967766386759,100.08477584307096,50.32331601125918,49.75106700438457,20.200556607913,20.405722351171843
1982-01-01,42.541162925192964,43.81430515864938,26.16878223560076,26.91560732462849,7.643684635633388,8.270566798944788,97.78141196918031,100.05618838130748,50.63975759479745,50.023521406281,20.042620127723342,20.423499925914452
1982-04-01,42.605366879495556,43.94838168846511,26.080598375054986,27.038689395862598,7.590532121030138,8.277574885681027,97.93338565602609,100.05829981269392,50.72720330379171,50.28922805124491,20.040510922990702,20.44776861990908
1982-07-01,42.319032065212994,44.10556465560674,26.219588597432107,27.177131649840106,7.454200560491926,8.292859203338743,96.95162546296221,100.09723712197994,50.80501363879943,50.54981838633838,20.025871056226165,20.478633284928165
1982-10-01,42.20743230181092,44.287716150156314,26.614754358519836,27.331254162207674,6.813131206850143,8.317558649167022,95.75731619387398,100.17782937223384,50.83982697371977,50.80723729083877,20.1298034392002,20.51594763323989
1983-01-01,42.650080000403335,44.49561559757459,26.824594604212376,27.500789517674097,6.944026881291715,8.35229829135036,96.08420945775163,100.30296760732647,50.73317134036571,51.06363253581868,20.310828260720772,20.559283021767953
1983-04-01,43.507881207654975,44.7287506605082,27.346308445618533,27.685024274198522,7.461730101775235,8.396700201920003,96.95232162769972,100.47277984482187,50.665236791336085,51.321217021557736,20.608214696762335,20.60796774481327
1983-07-01,44.25195589348655,44.98544374130101,27.827300116779366,27.882809360668563,7.824011526328372,8.449435322123739,98.611211183723,100.68474950523974,50.717609134570466,51.582039349646045,20.723285565691,20.661170951919576
1983-10-01,45.046188382914735,45.26322661324458,28.163420764009565,28.09276020474163,8.52912087744629,8.508537741010972,100.17423941049645,100.93414227221392,50.85621588439569,51.84777296435257,20.860753950607357,20.71805638770139
1984-01-01,45.735864435569205,45.55912511163376,28.29972836169567,28.31342471329109,9.255556493816997,8.571588667077522,101.66760774301574,101.2149036775334,51.09985290680531,52.11957542773253,20.942335989754998,20.777819527563324
1984-04-01,46.408341633742694,45.86996481571706,28.656541947885675,28.54335588524548,9.478128251120769,8.636115909430476,102.73047413720823,101.52046303918763,51.59861259618008,52.39799660972017,21.03545946053214,20.83973711116702
1984-07-01,46.73119273145249,46.19260506928961,28.759240435315828,28.78105410842647,9.597981143457032,8.699990715646916,102.90188273187846,101.84447350802617,52.128661540609095,52.682948069477405,21.083305792752256,20.903180880365753
1984-10-01,46.97184353116157,46.524159844871505,29.005869240271867,29.02504259224049,9.417362377960847,8.761530800739488,103.25728332717709,102.18127417227419,52.65021326820275,52.97383088823839,21.07089138209875,20.967637676569097
1985-01-01,47.3228228141327,46.86200043615461,29.48897999338,29.273780183797324,9.059947004082954,8.819549960784975,103.85385535466514,102.5257956812998,53.15249639728208,53.26968093733744,21.07882777364791,21.03270087105559
1985-04-01,47.62590387730494,47.20370347880023,29.738019762945285,29.525659526341165,9.171027676091656,8.873236032556926,104.31356555857805,102.87357521633126,53.53802973781453,53.56930721850977,21.0995738697088,21.09802355862059
1985-07-01,48.22630061948743,47.547064516325115,30.27792169746647,29.7791529375667,9.038441386963932,8.921914694814657,104.33262355677353,103.22091972102122,53.92498035618185,53.871417383436786,21.309250202048837,21.163283479900386
1985-10-01,48.44169587418534,47.890080708218754,30.29612999020965,30.03281393110379,9.369247698220747,8.965091536595011,104.5465483177815,103.56498592859019,54.24721528317766,54.174669702347174,21.33141814062539,21.22815536092886
1986-01-01,48.65340613231382,48.2311192225125,30.475448827921785,30.285461186041275,9.319235123716151,9.00234697388093,103.88237089445673,103.90358880785817,54.53226782996468,54.47772578260212,21.474155878275052,21.292401455446665
1986-04-01,48.73834203148752,48.56884984048647,30.575322817597204,30.536041423125464,9.170454448728433,9.03351608935669,103.31645833094302,104.23513057203961,54.91376497714113,54.77926318395268,21.53554882390862,21.35584601637023
1986-07-01,49.06485232814071,48.902174240383815,31.063871184432827,30.78358917214762,8.900373193285914,9.058640814206194,103.54377413192665,104.5579817699531,55.23899262402984,55.07796527174755,21.604175228595373,21.418425149367334
1986-10-01,49.18395658103105,49.23007498098336,31.181271338422878,31.027136100593427,8.892079599867646,9.077861887909146,104.01791623538745,104.8699154376249,55.481242032636246,55.37257291448466,21.559357080267528,21.480186903463846
1987-01-01,49.37527976205101,49.55161506459662,31.19587515717738,31.265865067219217,9.109302239820073,9.091233313272747,104.94506215922215,105.16804146441307,55.680681887330174,55.66190378940786,21.491734863001117,21.541296331497335
1987-04-01,49.764279927648886,49.86580967374524,31.61500425110446,31.499037215962904,9.055720586364705,9.098703468883421,105.24330189784716,105.44890530288981,55.96158347433899,55.9448225087831,21.58309018344144,21.601970190061216
1987-07-01,50.061380700753965,50.17154411135951,31.949531864937743,31.725854100611965,8.98282404380072,9.100243398249457,105.69254936240367,105.70888419448396,56.23061389208432,56.22018649633905,21.61559991850903,21.662396593765777
