country_code,country,gdp,labor,human_capital,physical_capital,price_level
ALB,Albania,36288.328125,1.0758976936340332,2.964992046356201,223971.375,0.42101892828941345
DZA,Algeria,503848.3125,11.273453712463379,2.383965492248535,2290437.5,0.33970117568969727
AGO,Angola,223289.3125,16.644962310791016,1.4819843769073486,1299231.5,0.3806747794151306
ARG,Argentina,978558.8125,20.64321517944336,3.09680438041687,3183182.25,0.45951607823371887
ARM,Armenia,43795.6875,0.966090977191925,3.1359946727752686,93246.1796875,0.31219515204429626
AUS,Australia,1355143.25,12.863174438476562,3.549666166305542,5866471.0,1.0184959173202515
AUT,Austria,478329.34375,4.550281047821045,3.3810462951660156,2630129.5,0.9304789304733276
BHR,Bahrain,77180.3359375,0.7436636090278625,2.2295069694519043,408377.25,0.4997914135456085
BGD,Bangladesh,757204.5625,65.53406524658203,2.101790428161621,2733477.5,0.3975822627544403
BRB,Barbados,3577.5810546875,0.13225862383842468,2.8460724353790283,29255.443359375,1.456068992614746
BEL,Belgium,523688.59375,4.921936511993408,3.149034023284912,3078800.5,1.017966389656067
BLZ,Belize,2218.947021484375,0.1585184782743454,3.612769603729248,9013.234375,0.8592448234558105
BEN,Benin,38397.953125,4.300300598144531,1.918609619140625,84009.015625,0.37510383129119873
BOL,Bolivia (Plurinational State of),98644.46875,5.543825626373291,2.966043710708618,204495.015625,0.4145728647708893
BWA,Botswana,38095.609375,0.9215958118438721,2.9388160705566406,176491.15625,0.4814353585243225
BRA,Brazil,3079724.5,93.95682525634766,3.0913732051849365,12706970.0,0.5999873280525208
BRN,Brunei Darussalam,31061.181640625,0.22235803306102753,2.798208236694336,188947.09375,0.43363577127456665
BGR,Bulgaria,150325.4375,3.4204185009002686,3.1860151290893555,433185.90625,0.4518568217754364
BFA,Burkina Faso,43177.33984375,6.958755970001221,1.2862424850463867,84055.890625,0.37035176157951355
BDI,Burundi,9166.3232421875,5.0035881996154785,1.4165260791778564,17380.458984375,0.32754141092300415
KHM,Cambodia,74427.921875,8.731463432312012,1.9636757373809814,192252.84375,0.36408329010009766
CMR,Cameroon,94377.6953125,10.365276336669922,1.895813226699829,233991.234375,0.4117642641067505
CAN,Canada,1862070.0,19.298662185668945,3.7210659980773926,8427519.0,0.9352477192878723
CAF,Central African Republic,4653.58056640625,1.8443279266357422,1.5616270303726196,29151.53515625,0.4771178662776947
CHL,Chile,441291.09375,8.100071907043457,3.145768880844116,1977867.125,0.6397548913955688
CHN,China,20118076.0,798.8077392578125,2.6989870071411133,99462136.0,0.7129376530647278
HKG,"China, Hong Kong SAR",408095.8125,3.8638103008270264,3.267883777618408,2284302.75,0.8961394429206848
MAC,"China, Macao SAR",60140.26171875,0.387800008058548,2.9624180793762207,206531.0625,0.895561695098877
COL,Colombia,706174.3125,21.199607849121094,2.5987870693206787,2068072.0,0.458530992269516
COG,Congo,24495.845703125,2.01545786857605,2.0449585914611816,137922.359375,0.5061009526252747
CRI,Costa Rica,93967.2421875,2.2563555240631104,2.6947717666625977,217205.375,0.6573987007141113
CIV,Cote d'Ivoire,129436.7890625,7.510223865509033,1.6955418586730957,245883.828125,0.4522640109062195
HRV,Croatia,108094.8203125,1.8176243305206299,3.6189019680023193,531400.6875,0.5589090585708618
CYP,Cyprus,28377.013671875,0.3665671646595001,2.9043920040130615,195445.96875,0.8656760454177856
CZE,Czech Republic,401744.25,5.4814324378967285,3.674304246902466,2112986.75,0.6239803433418274
